timestamp,steps,distance millimeters,altitude gain millimeters
2025-07-05T02:47:37Z,1,600,0
2025-07-05T02:47:38Z,1,660,0
2025-07-05T02:47:39Z,0,710,0
2025-07-05T02:47:40Z,0,740,0
2025-07-05T02:47:41Z,0,0,0
2025-07-05T02:47:42Z,0,0,0
2025-07-05T02:47:43Z,0,0,0
2025-07-05T02:47:44Z,0,0,0
2025-07-05T02:47:45Z,0,0,0
2025-07-05T02:47:46Z,1,0,0
2025-07-05T02:47:47Z,1,0,0
2025-07-05T02:47:48Z,2,0,0
2025-07-05T02:47:49Z,2,140,0
2025-07-05T02:47:50Z,1,280,0
2025-07-05T02:47:51Z,1,280,0
2025-07-05T02:47:52Z,2,450,0
2025-07-05T02:47:53Z,0,590,0
2025-07-05T02:47:54Z,1,720,0
2025-07-05T02:47:55Z,2,750,0
2025-07-05T02:47:56Z,2,800,0
2025-07-05T02:47:57Z,1,820,0
2025-07-05T02:47:58Z,2,890,0
2025-07-05T02:47:59Z,2,980,0
2025-07-05T02:48:00Z,1,1070,0
2025-07-05T02:48:01Z,2,1090,0
2025-07-05T02:48:02Z,2,1150,0
2025-07-05T02:48:03Z,2,1200,0
2025-07-05T02:48:04Z,1,1190,0
2025-07-05T02:48:05Z,2,1210,0
2025-07-05T02:48:06Z,1,1220,0
2025-07-05T02:48:07Z,2,1220,0
2025-07-05T02:48:08Z,1,1220,0
2025-07-05T02:48:09Z,2,1210,0
2025-07-05T02:48:10Z,2,1210,0
2025-07-05T02:48:11Z,1,1210,0
2025-07-05T02:48:12Z,1,1210,0
2025-07-05T02:48:13Z,2,1220,0
2025-07-05T02:48:14Z,2,1200,0
2025-07-05T02:48:15Z,1,1200,0
2025-07-05T02:48:16Z,2,1210,0
2025-07-05T02:48:17Z,1,1200,0
2025-07-05T02:48:18Z,2,1200,0
2025-07-05T02:48:19Z,1,1200,0
2025-07-05T02:48:20Z,2,1190,0
2025-07-05T02:48:21Z,2,1200,0
2025-07-05T02:48:22Z,1,1190,0
2025-07-05T02:48:23Z,3,1230,0
2025-07-05T02:48:24Z,1,1250,0
2025-07-05T02:48:25Z,2,1250,0
2025-07-05T02:48:26Z,2,1260,0
2025-07-05T02:48:27Z,1,1250,0
2025-07-05T02:48:28Z,2,1250,0
2025-07-05T02:48:29Z,1,1250,0
2025-07-05T02:48:30Z,2,1250,0
2025-07-05T02:48:31Z,1,1250,0
2025-07-05T02:48:32Z,2,1240,0
2025-07-05T02:48:33Z,1,1230,0
2025-07-05T02:48:34Z,2,1240,0
2025-07-05T02:48:35Z,1,1230,0
2025-07-05T02:48:36Z,2,1230,0
2025-07-05T02:48:37Z,1,1230,0
2025-07-05T02:48:38Z,2,1220,0
2025-07-05T02:48:39Z,2,1220,0
2025-07-05T02:48:40Z,2,1230,0
2025-07-05T02:48:41Z,1,1220,0
2025-07-05T02:48:42Z,1,1220,0
2025-07-05T02:48:43Z,4,1280,0
2025-07-05T02:48:44Z,1,1290,0
2025-07-05T02:48:45Z,2,1280,0
2025-07-05T02:48:46Z,1,1290,0
2025-07-05T02:48:47Z,1,1290,0
2025-07-05T02:48:48Z,2,1230,0
2025-07-05T02:48:49Z,1,1170,0
2025-07-05T02:48:50Z,1,1100,0
2025-07-05T02:48:51Z,1,1050,0
2025-07-05T02:48:52Z,2,1050,0
2025-07-05T02:48:53Z,1,1000,0
2025-07-05T02:48:54Z,1,970,0
2025-07-05T02:48:55Z,2,980,0
2025-07-05T02:48:56Z,2,980,0
2025-07-05T02:48:57Z,2,980,0
2025-07-05T02:48:58Z,1,990,0
2025-07-05T02:48:59Z,2,1070,0
2025-07-05T02:49:00Z,2,1140,0
2025-07-05T02:49:01Z,1,1130,0
2025-07-05T02:49:02Z,1,1130,0
2025-07-05T02:49:03Z,2,1130,0
2025-07-05T02:49:04Z,1,1140,0
2025-07-05T02:49:05Z,2,1130,0
2025-07-05T02:49:06Z,2,1130,0
2025-07-05T02:49:07Z,2,1180,0
2025-07-05T02:49:08Z,1,1180,0
2025-07-05T02:49:09Z,2,1180,0
2025-07-05T02:49:10Z,1,1180,0
2025-07-05T02:49:11Z,2,1180,0
2025-07-05T02:49:12Z,1,1180,0
2025-07-05T02:49:13Z,2,1180,0
2025-07-05T02:49:14Z,1,1170,0
2025-07-05T02:49:15Z,3,1180,0
2025-07-05T02:49:16Z,1,1180,0
2025-07-05T02:49:17Z,1,1180,0
2025-07-05T02:49:18Z,1,1170,0
2025-07-05T02:49:19Z,1,1170,0
2025-07-05T02:49:20Z,4,1180,0
2025-07-05T02:49:21Z,1,1170,0
2025-07-05T02:49:22Z,3,1240,0
2025-07-05T02:49:23Z,1,1310,0
2025-07-05T02:49:24Z,1,1340,0
2025-07-05T02:49:25Z,3,1340,0
2025-07-05T02:49:26Z,1,1350,0
2025-07-05T02:49:27Z,2,1330,0
2025-07-05T02:49:28Z,2,1340,0
2025-07-05T02:49:29Z,1,1330,0
2025-07-05T02:49:31Z,2,1340,0
2025-07-05T02:49:32Z,2,1340,0
2025-07-05T02:49:33Z,1,1320,0
2025-07-05T02:49:34Z,1,1260,0
2025-07-05T02:49:35Z,2,1250,0
2025-07-05T02:49:36Z,1,1200,0
2025-07-05T02:49:37Z,2,1190,0
2025-07-05T02:49:38Z,1,1190,0
2025-07-05T02:49:39Z,2,1190,0
2025-07-05T02:49:40Z,1,1190,0
2025-07-05T02:49:41Z,2,1180,0
2025-07-05T02:49:42Z,1,1170,0
2025-07-05T02:49:43Z,1,1180,0
2025-07-05T02:49:44Z,1,1110,0
2025-07-05T02:49:45Z,4,1150,0
2025-07-05T02:49:46Z,1,1160,0
2025-07-05T02:49:47Z,1,1150,0
2025-07-05T02:49:48Z,4,1280,0
2025-07-05T02:49:49Z,2,1400,0
2025-07-05T02:49:50Z,2,1410,0
2025-07-05T02:49:51Z,1,1430,0
2025-07-05T02:49:52Z,1,1440,0
2025-07-05T02:49:53Z,3,1440,0
2025-07-05T02:49:54Z,2,1430,0
2025-07-05T02:49:55Z,2,1420,0
2025-07-05T02:49:56Z,1,1430,0
2025-07-05T02:49:57Z,2,1430,0
2025-07-05T02:49:58Z,1,1430,0
2025-07-05T02:49:59Z,2,1410,0
2025-07-05T02:50:00Z,1,1320,0
