timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds
2023-04-18T06:25:00Z,14.226,0.0
2023-04-18T06:30:00Z,20.057,0.0
2023-04-18T06:35:00Z,38.856,0.0
2023-04-18T06:40:00Z,32.581,0.0
2023-04-18T06:45:00Z,42.576,0.0
2023-04-18T06:50:00Z,32.288,0.0
2023-04-18T06:55:00Z,41.369,0.0
2023-04-18T07:00:00Z,36.182,0.0
2023-04-19T00:05:00Z,30.637,0.0
2023-04-19T00:10:00Z,14.281,0.0
2023-04-19T00:25:00Z,10.268,0.0
2023-04-19T00:30:00Z,9.963,0.0
2023-04-19T00:35:00Z,9.475,0.0
2023-04-19T00:40:00Z,21.626,0.0
2023-04-19T00:45:00Z,34.232,0.0
2023-04-19T00:50:00Z,34.2,0.0
2023-04-19T00:55:00Z,38.877,0.0
2023-04-19T01:00:00Z,48.52,0.0
2023-04-19T01:05:00Z,28.099,0.0
2023-04-19T01:10:00Z,33.316,0.0
2023-04-19T01:15:00Z,24.49,0.0
2023-04-19T01:20:00Z,30.154,0.0
2023-04-19T01:25:00Z,51.179,0.0
2023-04-19T01:30:00Z,43.28,0.0
2023-04-19T01:35:00Z,49.286,0.0
2023-04-19T01:40:00Z,56.44,0.0
2023-04-19T01:45:00Z,44.29,0.0
2023-04-19T01:50:00Z,47.991,0.0
2023-04-19T01:55:00Z,55.551,0.0
2023-04-19T02:00:00Z,46.223,0.0
2023-04-19T02:05:00Z,46.252,0.0
2023-04-19T02:10:00Z,53.172,0.0
2023-04-19T02:15:00Z,55.369,0.0
2023-04-19T02:20:00Z,50.92,0.0
2023-04-19T02:25:00Z,55.396,0.0
2023-04-19T02:30:00Z,48.244,0.0
2023-04-19T02:35:00Z,39.26,0.0
2023-04-19T02:40:00Z,43.463,0.0
2023-04-19T02:45:00Z,36.544,0.0
2023-04-19T02:50:00Z,31.956,0.0
2023-04-19T02:55:00Z,32.236,0.0
2023-04-19T03:00:00Z,31.396,0.0
2023-04-19T03:05:00Z,31.79,0.0
2023-04-19T03:10:00Z,34.25,0.0
2023-04-19T03:15:00Z,31.845,0.0
2023-04-19T03:20:00Z,41.383,0.0
2023-04-19T03:25:00Z,28.551,0.0
2023-04-19T03:30:00Z,26.31,0.0
2023-04-19T03:35:00Z,29.932,0.0
2023-04-19T03:40:00Z,24.231,0.0
2023-04-19T03:45:00Z,27.865,0.0
2023-04-19T03:50:00Z,30.963,0.0
2023-04-19T03:55:00Z,30.661,0.0
2023-04-19T04:00:00Z,34.577,0.0
2023-04-19T04:05:00Z,36.118,0.0
2023-04-19T04:10:00Z,31.196,0.0
2023-04-19T04:15:00Z,34.143,0.0
2023-04-19T04:20:00Z,31.052,0.0
2023-04-19T04:25:00Z,31.33,0.0
2023-04-19T04:30:00Z,34.231,0.0
2023-04-19T04:35:00Z,35.395,0.0
2023-04-19T04:40:00Z,54.713,0.0
2023-04-19T04:45:00Z,45.059,0.0
2023-04-19T04:50:00Z,44.627,0.0
2023-04-19T04:55:00Z,48.406,0.0
2023-04-19T05:00:00Z,49.022,0.0
2023-04-19T05:05:00Z,56.56,0.0
2023-04-19T05:10:00Z,58.142,0.0
2023-04-19T05:15:00Z,54.709,0.0
2023-04-19T05:20:00Z,57.561,0.0
2023-04-19T05:25:00Z,61.046,0.0
2023-04-19T05:30:00Z,52.842,0.0
2023-04-19T05:35:00Z,64.946,0.0
2023-04-19T05:40:00Z,55.408,0.0
2023-04-19T05:45:00Z,38.491,0.0
2023-04-19T05:50:00Z,53.036,0.0
2023-04-19T05:55:00Z,44.832,0.0
2023-04-19T06:00:00Z,44.606,0.0
2023-04-19T06:05:00Z,27.097,0.0
2023-04-19T06:10:00Z,28.975,0.0
2023-04-19T06:15:00Z,50.396,0.0
2023-04-19T06:20:00Z,41.005,0.0
2023-04-19T06:25:00Z,33.513,0.0
2023-04-19T06:30:00Z,19.208,0.0
2023-04-19T06:35:00Z,23.377,0.0
2023-04-19T23:20:00Z,46.427,0.0
2023-04-19T23:25:00Z,51.958,0.0
2023-04-19T23:30:00Z,67.342,0.0
2023-04-19T23:35:00Z,65.509,0.0
2023-04-19T23:40:00Z,56.39,0.0
2023-04-19T23:45:00Z,47.235,0.0
2023-04-19T23:50:00Z,47.145,0.0
2023-04-19T23:55:00Z,44.262,0.0
2023-04-20T00:00:00Z,45.01,0.0
2023-04-20T00:05:00Z,44.801,0.0
2023-04-20T00:10:00Z,46.033,0.0
2023-04-20T00:15:00Z,50.015,0.0
2023-04-20T00:20:00Z,43.777,0.0
2023-04-20T00:25:00Z,42.685,0.0
2023-04-20T00:30:00Z,47.073,0.0
2023-04-20T00:35:00Z,43.763,0.0
