exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events
3613463247947537352,2023-04-28 23:18:42+0000,2023-04-29 00:39:48+0000,-07:00,2023-04-29 00:43:41+0000,2023-04-29 00:43:41+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
3704474176727411440,2023-04-24 22:02:21+0000,2023-04-24 23:57:36+0000,-07:00,2023-04-25 00:08:03+0000,2023-04-25 00:08:03+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
3727973313514537576,2023-05-23 20:16:15+0000,2023-05-23 20:34:11+0000,-07:00,2023-05-23 20:50:22+0000,2023-05-23 20:50:22+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
4076483541369558816,2023-05-02 22:09:18+0000,2023-05-03 00:14:49+0000,-07:00,2023-05-03 00:27:28+0000,2023-05-03 00:27:28+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
4282105455078291448,2023-06-18 02:42:27+0000,2023-06-18 02:58:39+0000,-07:00,2023-06-18 03:08:56+0000,2023-06-18 03:08:56+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
4389108795128902560,2023-05-23 17:57:58+0000,2023-05-23 18:46:36+0000,-07:00,2023-05-23 18:57:21+0000,2023-05-23 18:57:21+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
4441162744502792512,2023-06-07 03:00:45+0000,2023-06-07 03:16:58+0000,-07:00,2023-06-07 04:15:55+0000,2023-06-07 04:15:55+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
4487065727638343104,2023-05-20 02:18:21+0000,2023-05-20 02:33:43+0000,-07:00,2023-05-20 03:33:51+0000,2023-05-20 03:33:51+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
4521035558713778632,2023-06-02 17:36:13+0000,2023-06-02 18:34:14+0000,-07:00,2023-06-03 17:36:00+0000,2023-06-03 17:36:00+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
4723298688814892880,2023-05-08 17:33:35+0000,2023-05-08 18:25:39+0000,-07:00,2023-05-08 18:37:32+0000,2023-05-08 18:37:32+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
4775261975133741104,2023-04-18 21:48:17+0000,2023-04-19 00:55:15+0000,-07:00,2023-04-19 00:59:28+0000,2023-04-19 00:59:28+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
509963983356123328,2023-05-19 02:40:38+0000,2023-05-19 03:01:58+0000,-07:00,2023-05-19 04:03:33+0000,2023-05-19 04:03:33+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
5103607727505096776,2023-04-17 17:41:19+0000,2023-04-17 17:41:35+0000,-07:00,2023-04-17 17:54:10+0000,2023-04-17 17:54:10+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,0,15,6438,0,113,117,684,87552,362,1223,737,0,0,UNSPECIFIED,0,,,,,,
